,percent
334,14.4%
335,1.4%
336,19%
337,13%
338,1.8%
339,2.1%
340,2.1%
341,2.3%
342,3%
343,7percent
344,7.8percent
345,100percent
346,6.5percent
347,7.1percent
348,7percent
349,6.5percent
350,20%
351,10%
352,1.3%
353,7percent
354,16percent
355,23percent
356,78percent
357,2.2percent
358,17percent
359,4.5percent
360,0.2percent
361,2.2percent
362,2percent
363,4.01percent
364,1.6percent
365,65percent
366,23percent
367,7percentage point
368,0.52percentage point
369,1.91percent
370,8.3percent
371,4percent
372,50percent
373,30percent
374,75percent
375,90percent
376,9.4percent
377,29percent
378,7.2percent
379,7percent
380,8percent
381,2percent
382,11percent
383,35percent
384,34percent
385,10percent
386,36percent
387,7.6percent
388,9percent
389,33percentage point
390,13percent
391,7.8percent
392,3percent
393,1.4percent
394,1.3%
395,34%
396,500%
397,53%
398,0.0%
399,0.4percent
400,0.8percent
401,0.8percent
402,0.2percent
403,0.4percent
404,0.3percent
405,0.1percent
406,0.3percent
407,21%
408,45%
409,16%
410,32%
411,16%
412,22%
413,32%
414,7.8%
415,50%
416,61.8%
417,2.8%
418,0.825%
419,2%
420,6.5%
421,2.5%
422,highpercent
423,1.94percent
424,1.96%
425,20.2percent
426,1.3percent
427,37.8percent
428,7.7%
429,2.2percent
430,5.1percent
431,0.8percent
432,2.3percent
433,6.5percent
434,7.7percent
435,7.8%
436,6.5%
437,7.6percent
438,1.91%
439,0.1percent
440,0.2percent
441,0.1percent
442,0.2percent
443,10%
444,0.2%
445,3percent
446,6%
447,3%
448,3%
449,25%
450,2percent
451,5percent
452,10%
453,1.5%
454,14%
455,40%
456,13%
457,6.5%
458,6.5%
459,1%
460,6%
461,95%
462,50%
463,20%
464,7.1percent
465,7.8percent
466,7.1percent
467,7.8percent
468,2.4%
469,25%
470,20%
471,25%
472,2.82%
473,headline%
474,9.2%
475,6.0percent
476,0.2percentage point
477,11percent
478,10.5percent
479,4.5percent
480,16percent
481,4percent
482,11percent
483,10.5percent
484,4.5percent
485,16percent
486,4percent
487,21percent
488,8%
489,20percent
490,40percent
491,2%
492,0.5percent
493,2percent
494,38percent
495,29percent
496,11percent
497,16percent
498,2.23%
499,3.2percent
500,3.1percent
501,0.1percent
502,46.3percent
503,16.5percent
504,7.9percent
505,13percent
506,zeropercent
507,60%
508,95%
509,50percent
510,9.7percent
511,absolutelypercent
512,3.8percent
513,39%
514,88%
515,4.9%
516,5.1%
517,7.1percent
518,4percent
519,5percent
520,0.5percent
521,0.3percent
522,80%
523,43percent
524,20percent
525,5percentage point
526,0.27%
527,0.26%
528,0.26%
529,0.24%
530,6.5percent
531,10percent
532,20percent
533,23percent
534,40%
535,15.32percent
536,17%
537,6%
538,12%
539,38%
540,9percent
541,10percent
542,2percent
543,8.2percent
544,7.4percent
545,4.6%
546,62%
547,74percent
548,11%
549,2.4percent
550,9.2percent
551,35%
552,12.5%
553,Thispercent
554,12.5%
555,1.8%
556,Thispercent
557,1.8%
558,1.9%
559,1.7%
560,8percent
561,4percent
562,9percent
563,8.1percent
564,7.7percent
565,80percent
566,15percent
567,30percent
568,10percent
569,3.2percent
570,13percent
571,9.3percent
572,7.5percent
573,39.1percent
574,weeklypercent
575,37.9percent
576,53percent
577,5percent
578,12percent
579,0.26%
580,0.18%
581,0.46%
582,0.37%
583,20%
584,7.5%
585,10.25%
586,hundredpercent
587,7.4percent
588,sixpercent
589,sixpercent
590,7.0percent
591,4percent
592,40%
593,120%
594,13.6%
595,50%
596,9.3%
597,6.5%
598,12.9%
599,0.2percentage point
600,40%
601,0.7%
602,25%
603,22percent
604,40percent
605,60percent
606,80percent
607,12percent
608,7percent
609,6percent
610,6.5percent
611,10percent
612,13percent
613,1percent
614,2percent
615,5percent
616,2percent
617,4percentage point
618,12percent
619,17.7percent
620,34.8percent
621,29.7percent
622,66percent
623,19percent
624,19.2percent
625,34.8percent
626,35percent
627,52percent
628,12percent
629,5percent
630,2percent
631,165percent
632,12percent
633,10percent
634,5percent
635,10%
636,10percent
637,7.8percent
638,26.6percent
639,2.6percent
640,5percent
641,5.9percent
642,7%
643,1.1percent
644,9.6percent
645,20%
646,2%
647,14.5%
648,80%
649,10%
650,31percent
651,52percent
652,19percent
653,66percent
654,52percent
655,10percent
656,13%
657,38%
658,0.5%
659,3%
660,10%
661,12%
662,3.7%
663,10%
664,90%
665,100%
666,23.6%
667,3.9percent
668,27percent
669,14percent
670,27percent
671,40percent
672,92percent
673,22percent
674,41percent
675,4.5percent
676,55percent
677,11.8%
678,11.7%
679,10.7%
680,10.6%
681,10.0%
682,6.4percent
683,12percent
684,7.3percent
685,3.5percent
686,9.1percent
687,6.3percent
688,9percent
689,10percent
690,3.5percent
691,88%
692,0.1%
693,0.4%
694,0.8%
695,40percent
696,23percent
697,15percent
698,5percent
699,21percent
700,3%
701,40%
702,50percent
703,14.1percent
704,5percent
705,sixpercent
706,3.5percent
707,9.6percent
708,1.9percent
709,18percent
710,6.9percent
711,0.61percent
712,3.5percent
713,5percent
714,3.5percent
715,0percent
716,5percent
717,2.9percent
718,3percent
719,4.5percent
720,declinepercent
721,15%
722,72.7%
723,31.0%
724,19.4%
725,28.1%
726,19.0%
727,35.3%
728,38.6%
729,61.1%
730,181.8%
731,12.7%
732,35.4%
733,5.0%
734,43.9%
735,12.0%
736,62.5%
737,0.2%
738,35.4%
739,21.2%
740,20%
741,35%
742,5%
743,5%
744,8.24%
745,40percent
746,45%
747,7.8%
748,21.2percent
749,9.2percent
750,80percent
751,100percent
752,60percent
753,40percent
754,ninepercent
755,2.50percent
756,2.00%
757,69%
758,10%
759,10percent
760,10%
761,10percent
762,2.00%
763,1percent
764,3.8percent
765,1.5percent
766,2.50%
767,1.80%
768,2.00%
769,2.2percent
770,0.75percent
771,1.7percent
772,2percent
773,25percent
774,26%
775,13.3%
776,1.1%
777,8.2%
778,9%
779,73percent
780,62percent
781,13.9%
782,17.5%
783,20%
784,30%
785,5.1%
786,18.1%
787,42.2%
788,23.8%
789,7%
790,13%
791,38%
792,20percent
793,4.6percent
794,2.6percent
795,20%
796,0.7%
797,1.1%
798,0.45%
799,0.3%
800,0.67%
801,30%
802,7%
803,2percent
804,2%
805,2%
806,2%
807,2percent
808,2percent
809,1.2percent
810,70percent
811,30percent
812,70percent
813,30percent
814,2.3percent
815,2percent
816,1.8percent
817,2.3percent
818,1.9percent
819,12.1%
820,1.8percent
821,highestpercent
822,lowestpercent
823,ratepercent
824,34.5percent
825,5percent
826,92percent
827,5percent
828,8percent
829,2.0percent
830,6percent
831,3percent
832,9percent
833,94percent
834,93percent
835,10percent
836,9.5percent
837,1percentage point
838,1%
839,0.4percentage point
840,1.0percent
841,5%
842,4%
843,2.5%
844,37.1%
845,131.5%
846,4.3%
847,24.2%
848,onepercent
849,112%
850,117%
851,5%
852,27.5%
853,44.3%
854,61%
855,90%
856,95%
857,93%
858,0.00%
859,30%
860,30%
861,50%
862,0.385percent
863,6%
864,38%
865,93%
866,33%
867,3percent
868,6%
869,38%
870,9.2%
871,21.2%
872,8.6%
873,90%
874,upercent
875,Johnsonpercent
876,90percent
877,highpercent
878,88%
879,25%
880,1.0percent
881,1.5percent
882,50percent
883,70percent
884,0.75percent
885,2%
886,2%
887,0.2%
888,0.1%
889,2.2%
890,2.5%
891,2.6%
892,2%
893,3.8%
894,3.9%
895,6.7%
896,6.5%
897,1.5%
898,0.7%
899,0.75percent
900,0percent
901,1.5percent
902,61%
903,19%
904,20%
905,15%
906,5%
907,8.24%
908,5percent
909,45percent
910,6percent
911,9percent
912,8percent
913,15percent
914,27%
915,127%
916,100%
917,29%
918,73.9%
919,13%
920,0.1%
921,0.1%
922,0.1%
923,0.4%
924,14.1percent
925,0.75percent
926,sixpercent
927,0percent
928,7.9percent
929,11.5percent
930,4.3percent
931,2%
932,2.2%
933,2%
934,60%
935,39%
936,50%
937,2percent
938,projectingpercent
939,70percent
940,6.93percent
941,58percent
942,6.2percent
943,5.1percent
944,showingpercent
945,termpercent
946,100%
947,11.9%
948,5.5%
949,5.2%
950,4.1%
951,20%
952,40%
953,2.3%
954,2.8%
955,6.5%
956,7%
957,7percent
958,2.1percent
959,4.5percent
960,2.8percent
961,1percent
962,showingpercent
963,termpercent
964,100%
965,11.9%
966,4.3%
967,3.6%
968,4.1%
969,7.2percent
970,3.1percent
971,1.5percent
972,16%
973,9%
974,50%
975,25%
976,14%
977,2.2percent
978,2.3percent
979,20%
980,27%
981,27%
982,4.8%
983,8%
984,15percent
985,25percent
986,9.8percent
987,threepercent
988,90percent
989,100percent
990,6%
991,5%
992,120percent
993,onepercent
994,0.66%
995,twopercentage point
996,1%
997,5%
998,1.4percent
999,twopercent
1000,30percent
1001,reportedpercent
1002,reportedpercent
1003,1.1percent
1004,17%
1005,25%
1006,30%
1007,8.25%
1008,Xpercent
1009,250percent
1010,1percent
1011,31.6percent
1012,22%
1013,1%
1014,5%
1015,2percentage point
1016,7.3%
1017,12.9%
1018,7.4%
1019,6.1%
1020,14%
1021,4.5%
1022,1.4%
1023,99%
1024,1.6%
1025,25%
1026,60%
1027,40%
1028,2percent
1029,3.3percent
1030,2%
1031,onepercentage point
1032,7.8%
1033,8.8%
1034,9.9%
1035,11.0%
1036,3.5percent
1037,60%
1038,40%
1039,2.2percentage point
1040,88%
1041,48%
1042,34%
1043,14%
1044,28%
1045,19%
1046,19%
1047,10%
1048,14.1percent
1049,0.1percent
1050,7.8percent
1051,7.4percent
1052,5percent
1053,9.2percent
1054,2.9percent
1055,7percent
1056,10percent
1057,7.37percent
1058,publishedpercent
1059,7.4percent
1060,6.5percent
1061,0.1%
1062,31percent
1063,2%
1064,2.5%
1065,9percent
1066,3%
1067,1%
1068,1%
1069,50%
1070,8%
1071,47%
1072,27%
1073,48%
1074,34%
1075,18%
1076,30%
1077,12%
1078,40%
1079,10%
1080,45%
1081,12%
1082,49%
1083,57%
1084,7%
1085,11%
1086,17%
1087,10%
1088,18%
1089,3%
1090,10%
1091,7percent
1092,salepercent
1093,29.4%
1094,10percent
1095,7.8percent
1096,2percent
1097,Sevenpercent
1098,fivepercent
1099,20percent
1100,enormouspercent
1101,30%
1102,30%
1103,50%
1104,45%
1105,50%
1106,5%
1107,16%
1108,Itpercent
1109,30%
1110,30%
1111,10.1%
1112,7.1%
1113,5%
1114,40%
1115,19%
1116,16.8%
1117,7.1%
1118,3.2percent
1119,3percent
1120,50%
1121,3%
1122,8percent
1123,1.86percent
1124,17.82percent
1125,6percent
1126,6.3percent
1127,20percent
1128,30percent
1129,9%
1130,65%
1131,55%
1132,14.93%
1133,28.37%
1134,30.05%
1135,8%
1136,5%
1137,38%
1138,70percent
1139,6.93percent
1140,58percent
1141,6.2percent
1142,95%
1143,73percent
1144,7.68percent
1145,52percent
1146,3.78percent
1147,84.69%
1148,6.5%
1149,3.6%
1150,12percent
1151,4%
1152,sixpercent
1153,35.3percent
1154,47.2percent
1155,62.3percent
1156,48.2percent
1157,37percent
1158,94.0percent
1159,84.0percent
1160,65.0percent
1161,53.0percent
1162,94%
1163,34.7percent
1164,6.4percent
1165,31.3percent
1166,38.7percent
1167,6.2percent
1168,8.9percent
1169,11.6percent
1170,6percent
1171,15%
1172,20%
1173,50%
1174,40%
1175,6.5percent
1176,7percent
1177,7percent
1178,10%
1179,3%
1180,7%
1181,0.7%
1182,0.3%
1183,0.3%
1184,3%
1185,30percent
1186,20percent
1187,10%
1188,2percentage point
1189,3.9percent
1190,0.3percent
1191,55percent
1192,10percent
1193,99.9%
1194,8.3%
1195,60%
1196,35%
1197,7.5%
1198,1%
1199,50%
1200,40%
1201,10percent
1202,20%
1203,20%
1204,22%
1205,50%
1206,25%
1207,30%
1208,40%
1209,50%
1210,16%
1211,70%
1212,50%
1213,2.2%
1214,51percent
1215,13.5percent
1216,100percent
1217,9percent
1218,55%
1219,2%
1220,0.7%
1221,0.7percent
1222,4percent
1223,0.5%
1224,4%
1225,38.2%
1226,30%
1227,25percent
1228,8percent
1229,25percent
1230,25percent
1231,35%
1232,40percent
1233,38percent
1234,15percent
1235,3percent
1236,31percent
1237,7.4percent
1238,0.3percent
1239,6.7percent
1240,0.9percent
1241,6.7percent
1242,6.3percent
1243,8.24%
1244,3.7%
1245,69%
1246,10.14%
1247,3.5%
1248,49.6%
1249,37.6%
1250,29.9%
1251,22.3%
1252,19.7%
1253,15.3%
1254,39%
1255,19percentage point
1256,54%
1257,35%
1258,21percentage point
1259,3.7%
1260,10.14%
1261,8.2%
1262,5.5%
1263,6.5%
1264,6.5percent
1265,6.5percent
1266,5.5percent
1267,6.5percent
1268,5.5percent
1269,5.5percent
1270,5percent
1271,5.5percent
1272,2percent
1273,7.7%
1274,13%
1275,0.2percent
1276,0.1percent
1277,0.1percent
1278,0.2percent
1279,1.3percent
1280,2.5percent
1281,0.6%
1282,0.4%
1283,0.5%
1284,0.2%
1285,0.2%
1286,0.3%
1287,0.3%
1288,0.4%
1289,Twenty-sevenpercent
1290,19percent
1291,26percent
1292,34percent
1293,twenty-fivepercent
1294,twopercent
1295,41percent
1296,18percent
1297,17%
1298,50%
1299,19.7%
1300,56percent
1301,21%
1302,60%
1303,24%
1304,25%
1305,61%
1306,0.4percentage point
1307,0.2percentage point
1308,22percent
1309,45percent
1310,19percent
1311,5percent
1312,28percent
1313,3.3percent
1314,4.5percent
1315,7.2percent
1316,7.8percent
1317,2percent
1318,3.2percent
1319,10percent
1320,8percent
1321,3percent
1322,6percent
1323,7.8percent
1324,2percent
1325,1.6percent
1326,9%
1327,2.7%
1328,1.5%
1329,3%
1330,0.2%
1331,0.3%
1332,0.1%
1333,0.2%
1334,0.1%
1335,0.1%
1336,0.24%
1337,0.6%
1338,0.7%
1339,30%
1340,7.8percent
1341,7.4percent
1342,10percent
1343,40percent
1344,25percent
1345,5.3percent
1346,5.2percent
1347,4.8%
1348,6.5%
1349,5%
1350,5%
1351,100%
1352,100%
1353,90percent
1354,100percent
1355,0.62%
1356,60percent
1357,42percent
1358,100percent
1359,100%
1360,100%
1361,85%
1362,42%
1363,100%
1364,100%
1365,3percent
1366,3percent
1367,7percent
1368,10percent
1369,15percent
1370,12percent
1371,3percent
1372,138percent
1373,42percent
1374,twelvepercent
1375,double-digitpercent
1376,ninetypercent
1377,1.5percent
1378,1.7percent
1379,1.9percent
1380,2.1percent
1381,16percent
1382,5percent
1383,13percent
1384,19percent
1385,40percent
1386,26percent
1387,30percent
1388,25percent
1389,0.6percent
1390,72.4percent
1391,15.7percent
1392,4.4percent
1393,4.7percent
1394,7.1percent
1395,1.7percent
1396,0.6percent
1397,4.3percent
1398,2.2percent
1399,6.4percent
1400,9.4percent
1401,10percent
1402,30percent
1403,25percent
1404,26percent
1405,70percent
1406,39percent
1407,17percent
1408,17.7percent
1409,19.1percent
1410,9.9percent
1411,11.2percent
1412,20percent
1413,29percent
1414,17percent
1415,20percent
1416,14percent
1417,9percent
1418,28percent
1419,15percent
1420,93percent
1421,3percent
1422,2percent
1423,3percent
1424,3percent
1425,37percent
1426,16percent
1427,90percent
1428,3percent
1429,19percent
1430,3.0percent
1431,2.6percent
1432,19percent
1433,16percent
1434,48percent
1435,41percent
1436,36percent
1437,44percent
1438,60percent
1439,70percent
1440,70percent
1441,3%
1442,2%
1443,1.0%
1444,11%
1445,35%
1446,17.9%
1447,32.1%
1448,28%
1449,200%
1450,10%
1451,34%
1452,27.7%
1453,36.8%
1454,29.2%
1455,28.3%
1456,27.7%
1457,25.1%
1458,20.6%
1459,60%
1460,48%
1461,15%
1462,17.4%
1463,15.9%
1464,27.6%
1465,28.3%
1466,17.9%
1467,includedpercent
1468,2%
1469,2%
1470,0.3percent
1471,1.0percent
1472,1.1percent
1473,0.8percent
1474,0.5percent
1475,1.3percent
1476,1.1percent
1477,78.8percent
1478,78.7percent
1479,0.3percent
1480,1.0percent
1481,1.0percent
1482,0.8percent
1483,1.3percent
1484,0.2percent
1485,0.6percent
1486,4.8percent
1487,98.1percent
1488,2.2percent
1489,0.1percentage point
1490,78.8percent
1491,1.5percentage point
1492,0.1percent
1493,0.9percent
1494,1.2percent
1495,0.5percent
1496,4.4percent
1497,1percent
1498,1.3percent
1499,2.0percent
1500,6.5percent
1501,2.3percent
1502,0.4percent
1503,0.5percent
1504,2.2percent
1505,1.0percent
1506,2percent
1507,8percent
1508,0.2percent
1509,3.2percent
1510,0.3percent
1511,2.9percent
1512,0.9percent
1513,0.6percent
1514,0.5percent
1515,6.2percent
1516,0.8percent
1517,1.3percent
1518,0.2percent
1519,77.4percent
1520,1.4percentage point
1521,1.0percent
1522,1.8percent
1523,1percent
1524,77.8percent
1525,0.7percentage point
1526,0.6percent
1527,0.6percent
1528,1percent
1529,78.3percent
1530,2.6percentage point
1531,1.7percent
1532,7.5percent
1533,0.6percent
1534,10.1percent
1535,0.4percentage point
1536,91.9percent
1537,4.6percentage point
1538,4.8percent
1539,3.8percentage point
1540,71.8percent
1541,14.5percentage point
1542,0.3percentage point
1543,89.1percent
1544,2.8percentage point
1545,0.4percentage point
1546,75.6percent
1547,5.5percentage point
1548,0.6percentage point
1549,77.7percent
1550,0.5percentage point
1551,0.3percent
1552,1.1percent
1553,0.5percent
1554,1.1percent
1555,78.5percent
1556,22percent
1557,1.1percent
1558,58percent
1559,36percent
1560,19percent
1561,0.1percent
1562,0.2percent
1563,1.7percent
1564,1.8percent
1565,1.9percent
1566,0.3percent
1567,1.8percent
1568,0.2percent
1569,0.1percent
1570,1.9percent
1571,2.3%
1572,10.7%
1573,16.5%
1574,15%
1575,12%
1576,11%
1577,16%
1578,32%
1579,36%
1580,53.5%
1581,10%
1582,15%
1583,11%
1584,15%
1585,11.0%
1586,10.4%
1587,8.7%
1588,8.4%
1589,18%
1590,2.5%
1591,15%
1592,5%
1593,4%
1594,0.1%
1595,0.2%
1596,78.5%
1597,1%
1598,0.2%
1599,0.6%
1600,0.3%
1601,2.56%
1602,45%
1603,1%
1604,230%
1605,10%
1606,75%
1607,23%
1608,230%
1609,10%
1610,45%
1611,2%
1612,10%
1613,2%
1614,2%
1615,2%
1616,50%
1617,15%
1618,1%
1619,Fourpercent
1620,Sixpercent
1621,2%
1622,4%
1623,2%
1624,4%
1625,15%
1626,1.5%
1627,1%
1628,15%
1629,40%
1630,7.9percent
1631,7.8percent
1632,7.4percent
1633,5.5%
1634,6.8%
1635,4.3%
1636,3.9%
1637,7.5%
1638,3.9%
1639,11.5%
1640,10.7%
1641,3.9%
1642,4.3%
1643,3.8%
1644,4.4%
1645,4.9%
1646,8.3%
1647,0.3%
1648,28.5%
1649,29.3%
1650,12.6%
1651,35.5%
1652,414%
1653,5.5percent
1654,9percent
1655,7.9percent
1656,7.8percent
1657,10.3percent
1658,10.2percent
1659,15.2percent
1660,15.1percent
1661,0.1percentage point
1662,20.6percent
1663,7.5%
1664,3.5%
1665,13.0%
1666,7.5%
1667,4.0%
1668,14.0%
1669,8.3%
1670,8.0%
1671,10.3%
1672,20.6%
1673,22.0%
1674,7.8percent
1675,7.7percent
1676,2.2percent
1677,7.4%
1678,7.8%
1679,60%
1680,45%
1681,33%
1682,1.7%
1683,1.9%
1684,1.45%
1685,1.58%
1686,1%
1687,2%
1688,10%
1689,141.2percent
1690,163.9percent
1691,4.28percent
1692,4.73percent
1693,0.45percent
1694,1.1percent
1695,1.3percent
1696,1.1percent
1697,0.8percent
1698,1.0percent
1699,2%
1700,7.8percent
1701,7.7percent
1702,2.2percent
1703,7.8percent
1704,10.2percent
1705,10percent
1706,10.3percent
1707,20.7percent
1708,20.5percent
1709,50percent
1710,20.7percent
1711,22.7%
1712,49%
1713,35%
1714,15.1percent
1715,14.3percent
1716,15.2percent
1717,15percent
1718,50%
1719,9%
1720,4.5%
1721,0.2percent
1722,0.1percent
1723,0.9percent
1724,1.2percent
1725,0.3percent
1726,0.7percent
1727,23percent
1728,7percent
1729,13.6percent
1730,20percent
1731,3.276percent
1732,2.5%
1733,1.8%
1734,2%
1735,1%
1736,1%
1737,34.2%
1738,2%
1739,1.1%
1740,3%
1741,3.4%
1742,1.9percent
1743,58percent
1744,0.7percent
1745,2%
1746,3%
1747,90percent
1748,70percent
1749,22percent
1750,14percent
1751,75%
1752,20percent
1753,120percent
1754,1percent
1755,22percent
1756,13.9%
1757,16.6%
1758,19.8%
1759,42%
1760,28%
1761,75%
1762,10%
1763,20%
1764,16%
1765,25%
1766,14%
1767,3.31%
1768,32.6%
1769,50%
1770,78%
1771,69%
1772,57%
1773,35%
1774,34%
1775,3%
1776,2percent
1777,0.1percent
1778,53%
1779,2.0%
1780,8.24%
1781,6%
1782,1%
1783,25%
1784,100%
1785,36percent
1786,8.24%
1787,2%
1788,12.1percent
1789,35%
1790,1.5%
1791,55percent
1792,30%
1793,30%
1794,26%
1795,20%
1796,20%
1797,12.1percent
1798,3.3percent
1799,0.3percent
1800,0.5percent
1801,0.3percent
1802,28.8percent
1803,1.8percent
1804,30.3percent
1805,12.1percent
1806,36.9percent
1807,8.1percent
1808,28.1percent
1809,1.6percent
1810,13.2percent
1811,3.7percent
1812,11.4percent
1813,4percent
1814,8percent
1815,2.93percent
1816,25percent
1817,2.5percent
1818,8%
1819,68%
1820,8.7%
1821,18%
1822,8%
1823,9%
1824,2%
1825,9%
1826,47%
1827,4%
1828,1%
1829,2%
1830,31%
1831,8%
1832,72%
1833,5%
1834,11%
1835,3.9%
1836,4.7%
1837,28%
1838,17%
1839,17%
1840,1.9%
1841,1%
1842,3%
1843,3%
1844,14.1%
1845,12.7%
1846,8.7%
1847,1percent
1848,8%
1849,7.4%
1850,6%
1851,1%
1852,2.5percent
1853,0.5percent
1854,0.2percent
1855,0.5percent
1856,0.7percent
1857,cutpercent
1858,21percent
1859,16.5percent
1860,5.8percent
1861,4percent
1862,lowerpercent
1863,Butpercent
1864,37.9percent
1865,42percent
1866,3percent
1867,20percent
1868,30percent
1869,50percent
1870,21percent
1871,10percent
1872,3percent
1873,36percent
1874,7.5%
1875,7.9percent
1876,7.4percent
1877,7.8%
1878,80%
1879,100%
1880,50percent
1881,76percent
1882,4.5%
1883,4.3%
1884,5%
1885,90%
1886,70%
1887,6.4percent
1888,5percent
1889,4.7percent
1890,3percent
1891,43percent
1892,6.1%
1893,4.4%
1894,10percent
1895,15%
1896,10percent
1897,10percent
1898,18.4%
1899,25.6%
1900,47%
1901,30%
1902,taxpercent
1903,47%
1904,30%
1905,2.86%
1906,3.4percent
1907,3.2percent
1908,2.9percent
1909,7.9%
1910,7.8%
1911,7.8%
1912,100%
1913,4%
1914,4%
1915,2.8%
1916,3.2%
1917,7.7%
1918,yearpercent
1919,4%
1920,2.5%
1921,15%
1922,12%
1923,14.9percent
1924,13.6percent
1925,15.1percent
1926,14.2percent
1927,12.0percent
1928,1.47percent
1929,53percent
1930,27percent
1931,17percent
1932,39percent
1933,30percent
1934,21percent
1935,Eighty-sixpercent
1936,5percentage point
1937,76percent
1938,Fifty-fourpercent
1939,17percent
1940,6percentage point
1941,41percent
1942,36percent
1943,52percent
1944,46percent
1945,21percent
1946,12percent
1947,Thepercent
1948,13percentage point
1949,60percent
1950,30percent
1951,35percent
1952,41percent
1953,4percentage point
1954,2.2%
1955,3.6%
1956,0.5%
1957,1.5%
1958,4.5%
1959,1%
1960,1.5%
1961,0.3%
1962,2.8%
1963,1.4%
1964,7.9%
1965,2.8%
1966,1.12%
1967,2%
1968,5.3%
1969,7.8%
1970,5.5%
1971,35%
1972,61%
1973,55%
1974,57%
